state,cx,cy,x,y,w,h,total_pixel
f,170,2469,159,2417,32,85,8408
d,2205,2423,2198,2415,16,17,10443
d,122,2422,114,2414,17,17,8360
w,2271,2433,2252,2412,43,72,10509
d,2552,2385,2544,2378,17,17,10790
d,121,2386,114,2378,16,17,8359
m,4106,2442,4096,2364,21,158,12344
m,4078,2442,4075,2364,7,158,12316
m,3456,2442,3453,2364,7,158,11694
m,2360,2442,2357,2364,7,158,10598
m,1659,2442,1656,2364,7,158,9897
m,802,2442,800,2364,6,158,9040
d,1301,2348,1294,2340,17,17,9539
d,1131,2348,1123,2340,17,17,9369
d,944,2323,936,2315,17,17,9182
d,1131,2185,1123,2177,17,17,9369
d,1301,2166,1294,2158,17,17,9539
d,944,2147,936,2140,17,16,9182
d,3067,2053,3059,2046,17,17,11305
d,3067,1978,3059,1971,17,17,11305
d,2552,1978,2544,1971,17,17,10790
f,170,1987,159,1935,32,85,8408
m,4106,1998,4096,1920,21,157,12344
m,4078,1998,4075,1920,7,157,12316
m,3456,1998,3453,1920,7,157,11694
m,2360,1998,2357,1920,7,157,10598
m,1659,1998,1656,1920,7,157,9897
m,802,1998,800,1920,6,157,9040
d,3254,1609,3246,1602,17,17,7373
e,2837,1594,2822,1541,31,104,6956
f,170,1581,159,1528,32,85,4289
d,3474,1534,3467,1527,17,17,7593
d,122,1533,114,1526,17,17,4241
d,121,1497,114,1490,16,17,4240
d,2413,1497,2406,1489,17,17,6532
d,1423,1497,1416,1489,17,17,5542
m,4115,1554,4113,1476,6,157,8234
m,3080,1554,3077,1476,7,157,7199
m,2070,1554,2068,1476,6,157,6189
m,1096,1554,1094,1476,7,157,5215
d,1454,1422,1447,1414,17,17,5573
e,1847,1445,1832,1391,31,104,5966
d,3474,1166,3467,1158,17,17,7593
d,2444,1166,2437,1158,17,17,6563
d,1423,1166,1416,1158,17,17,5542
d,2444,1091,2437,1083,17,17,6563
e,2837,1113,2821,1060,32,103,6956
e,1847,1113,1831,1060,32,103,5966
f,170,1099,159,1047,32,85,4289
d,3474,1053,3467,1046,17,17,7593
m,4115,1110,4113,1032,6,158,8234
m,3080,1110,3077,1032,7,158,7199
m,2070,1110,2068,1032,6,158,6189
m,1096,1110,1094,1032,7,158,5215
d,2994,684,2986,677,17,17,2994
4,273,702,242,663,57,73,273
f,170,693,159,641,32,85,170
d,122,646,114,638,17,17,122
d,121,609,114,602,16,17,121
m,4115,666,4112,588,7,158,4115
m,2803,666,2800,588,7,158,2803
m,1781,666,1778,588,7,158,1781
4,273,627,242,588,57,73,273
d,3258,278,3251,270,17,17,3258
d,1490,278,1483,270,16,17,1490
d,821,278,814,270,17,17,821
d,3258,240,3251,233,17,17,3258
d,2209,240,2202,233,17,17,2209
d,1490,240,1483,233,17,17,1490
4,273,258,242,219,57,73,273
d,2209,203,2202,195,17,17,2209
f,170,212,159,160,32,85,170
m,4115,222,4112,144,7,158,4115
m,2803,222,2800,144,7,158,2803
m,1781,222,1778,144,7,158,1781
4,273,183,242,144,57,73,273
