state,cx,cy,x,y,w,h,tails,is_stemmed,is_filled,is_sharped,is_flatted,is_naturaled,is_dotted,staff_pitch,pitch,total_pixel,label,duration,beat,sample_rate
1,531,628,507,608,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,531.0,F,1.0,0.0,33037
1,531,278,507,257,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,531.0,F,1.0,0.0,66075
1,771,684,747,663,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,771.0,C,1.0,1.0,24750
1,771,279,747,257,50,45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,771.0,F,0.75,1.0,66075
1,968,297,945,279,48,38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,968.0,E,0.25,1.75,62366
1,969,259,945,240,48,38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,969.0,G,0.25,1.75,74167
1,1194,628,1169,608,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,1194.0,F,1.0,2.0,33037
1,1194,278,1171,259,47,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1194.0,F,1.0,2.0,66075
1,1195,239,1171,220,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1195.0,A,1.0,2.0,83249
1,1440,684,1416,663,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,1440.0,C,1.0,3.0,24750
1,1440,278,1417,259,47,41,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1440.0,F,0.75,3.0,66075
1,1441,239,1417,220,47,39,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,1441.0,A,0.75,3.0,83249
1,1662,259,1639,241,47,38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1662.0,G,0.25,3.75,74167
1,1663,221,1639,203,47,37,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1663.0,Bb,0.25,3.75,88200
1,1918,722,1893,701,51,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.0,-15.0,1918.0,A,1.0,4.0,20812
1,1916,241,1894,221,47,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1916.0,A,1.0,4.0,83249
1,1918,203,1894,183,48,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,1918.0,C,1.0,4.0,99001
1,2159,684,2135,663,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,2159.0,C,1.0,5.0,24750
1,2158,241,2136,221,47,41,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,2158.0,A,0.75,5.0,83249
1,2160,202,2136,183,47,40,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,2160.0,C,0.75,5.0,99001
1,2348,259,2325,241,48,38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2348.0,G,0.25,5.75,74167
1,2349,222,2325,203,48,38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,2349.0,Bb,0.25,5.75,88200
1,2516,628,2492,606,50,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0,-7.0,2516.0,F,2.0,6.0,33037
1,2516,279,2493,259,47,41,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,2516.0,F,2.0,6.0,66075
1,2517,239,2493,220,47,40,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,2517.0,A,2.0,6.0,83249
1,2938,684,2913,663,51,45,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-7.0,-12.0,2938.0,C,3.0,8.0,24750
1,2938,297,2914,279,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2938.0,E,1.0,8.0,62366
1,2938,259,2914,240,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2938.0,G,1.0,8.0,74167
1,3177,297,3154,279,47,38,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3177.0,E,0.75,9.0,62366
1,3178,259,3154,240,47,38,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,3178.0,G,0.75,9.0,74167
1,3370,278,3347,259,47,41,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3370.0,F,0.25,9.75,66075
1,3371,239,3347,220,47,40,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3371.0,A,0.25,9.75,83249
1,3516,259,3492,241,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3516.0,G,1.0,10.0,74167
1,3516,221,3492,203,48,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,3516.0,Bb,1.0,10.0,88200
1,3753,628,3728,608,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,3753.0,F,1.0,11.0,33037
1,3752,279,3730,259,47,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3752.0,F,0.5,11.0,66075
1,3754,240,3730,220,47,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3754.0,A,0.5,11.0,83249
1,3963,241,3941,222,47,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3963.0,A,0.5,11.5,83249
1,3964,202,3941,183,47,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,3964.0,C,0.5,11.5,99001
1,331,1590,307,1569,50,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-8.0,-14.0,4450.0,Bb,2.0,12.0,22050
1,331,1109,307,1091,48,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4450.0,Bb,0.5,12.0,88200
1,332,1071,308,1053,47,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,4451.0,D,0.5,12.0,111125
1,454,1128,431,1109,47,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4573.0,A,0.5,12.5,83249
1,455,1090,431,1071,47,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,4574.0,C,0.5,12.5,99001
1,564,1147,541,1129,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4683.0,G,0.5,13.0,74167
1,565,1109,541,1090,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4684.0,Bb,0.5,13.0,88200
1,689,1166,667,1147,47,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4808.0,F,0.5,13.5,66075
